36
0.0014535644740013777,	0.058142578960055105,	1.162851579201102,	0.05
0.007267822370006874,	0.11628515792010993,	1.1628515792010965,	0.05
0.020349902636019504,	0.26164160532025255,	2.907128948002852,	0.05
0.0436069342200425,	0.46514063168045994,	4.069980527204147,	0.05
0.07994604607007841,	0.726782237000718,	5.23283210640516,	0.05
0.1322743671341241,	1.0465664212809138,	6.395683685603917,	0.05
0.20204546188616887,	1.3954218950408952,	6.977109475199628,	0.05
0.28925933032626616,	1.7442773688019457,	6.9771094752210105,	0.05
0.3939159724544059,	2.093132842562795,	6.977109475216983,	0.05
0.5160153882704903,	2.4419883163216882,	6.977109475177867,	0.05
0.655557577774483,	2.7908437900798533,	6.977109475163301,	0.05
0.8125425409664748,	3.139699263839837,	6.977109475199672,	0.05
0.9855167133724658,	3.45948344811982,	6.395683685599662,	0.05
1.1715729660444563,	3.7211250534398066,	5.232832106399732,	0.05
1.367804170034446,	3.9246240797997967,	4.069980527199801,	0.05
1.5713031963944357,	4.069980527199792,	2.907128947999915,	0.05
1.7791629161764249,	4.157194395639783,	1.744277368799807,	0.05
1.987837735465994,	4.173496385791382,	0.32603980303198554,	0.05
2.1937820603473677,	4.118886497627474,	-1.0921977632781577,	0.05
2.394088761872204,	4.006134030496726,	-2.2550493426149565,	0.05
2.585850711092488,	3.8352389844056844,	-3.417900921820838,	0.05
2.7661607790602027,	3.6062013593542908,	-4.580752501027874,	0.05
2.9321118368273327,	3.3190211553425986,	-5.743604080233844,	0.05
3.0814352204131192,	2.9864676717157312,	-6.651069672537346,	0.05
3.213315830310809,	2.637612197953798,	-6.977109475238663,	0.05
3.3277536665204033,	2.2887567241918827,	-6.977109475238308,	0.05
3.4247487290419008,	1.9399012504299495,	-6.977109475238663,	0.05
3.5043010178753033,	1.591045776668052,	-6.9771094752379526,	0.05
3.5664105330206093,	1.2421903029061188,	-6.977109475238663,	0.05
3.6117157394450765,	0.9061041284893445,	-6.721723488335485,	0.05
3.642308666589968,	0.6118585428978296,	-5.8849117118302985,	0.05
3.6610964434033004,	0.3757555362666487,	-4.722060132623618,	0.05
3.6709861988330905,	0.19779510859580185,	-3.559208553416937,	0.05
3.6748850618273528,	0.07797725988524462,	-2.3963569742111446,	0.05
3.6757001613341047,	0.01630199013503919,	-1.2335053950041086,	0.05
3.6757001613341047,	0.0,	-0.3260398027007838,	0.05
