138
0.0014254385964912282,	0.05701754385964912,	1.1403508771929822,	0.05
0.007587383620556965,	0.12323890048131472,	0.9562746059816254,	0.05
0.02144886376053911,	0.2772296027996429,	2.6219399035536175,	0.05
0.04608162727638196,	0.492655270316857,	3.673941133574115,	0.05
0.08454517844603288,	0.7692710233930184,	4.730836397567916,	0.05
0.1398793085573943,	1.1066826022272287,	5.795612123745939,	0.05
0.21356137504150258,	1.4736413296821655,	6.345004632529633,	0.05
0.3055110395545868,	1.838993290261684,	6.3771229121327755,	0.05
0.4156310630580933,	2.2024004700701285,	6.416001308740089,	0.05
0.5438092943881458,	2.56356462660105,	6.4608453037210944,	0.05
0.6899209171558575,	2.9222324553542323,	6.51075862836513,	0.05
0.8538308671624326,	3.278199000131502,	6.5647756868698615,	0.05
1.0353963233313097,	3.631309123377542,	6.621901034354183,	0.05
1.2344691656030629,	3.981456845435061,	6.6811523840611375,	0.05
1.4508982888858835,	4.328582465656412,	6.741604319593453,	0.05
1.6845316672820723,	4.672667567923774,	6.802430873123688,	0.05
1.9352180728757793,	5.0137281118741415,	6.862943847829399,	0.05
2.20280836861327,	5.351805914749806,	6.922624963718462,	0.05
2.4871563125946548,	5.686958879627701,	6.98115074163967,	0.05
2.786646338621474,	5.98980052053639,	6.487069771199376,	0.05
3.0982214920362434,	6.231503068295386,	5.429197502998537,	0.05
3.418871255869509,	6.412995276665314,	4.352734779565015,	0.05
3.745628596452668,	6.535146811663187,	3.2588617776270112,	0.05
4.075566374793995,	6.598755566826543,	2.1490152660657103,	0.05
4.405793678471807,	6.604546073556226,	1.0246653626597713,	0.05
4.7348934505884674,	6.581995442333215,	0.45111359343916746,	0.05
5.0628960292903855,	6.560051574038354,	0.43895210379364613,	0.05
5.389823471374662,	6.538548841685528,	0.43010553581439126,	0.05
5.715689855624898,	6.517327685004731,	0.42445156135205053,	0.05
6.040501477721805,	6.496232441938137,	0.4219117284581664,	0.05
