31
0.0013359893398884326,	0.0534395735955373,	1.0687914719107459,	0.05
0.00667994669944215,	0.10687914719107434,	1.068791471910741,	0.05
0.018703850758438428,	0.24047808117992553,	2.6719786797770237,	0.05
0.04007968019665421,	0.42751658876431575,	3.7407701516878045,	0.05
0.07347941369386639,	0.6679946699442435,	4.8095616235985545,	0.05
0.12157502992983539,	0.96191232471938,	5.878353095502731,	0.05
0.18570251824448675,	1.2825497662930274,	6.412748831472947,	0.05
0.26586187863782373,	1.6031872078667402,	6.412748831474255,	0.05
0.3620531111097362,	1.9238246494382494,	6.412748831430184,	0.05
0.47427621566025235,	2.244462091010323,	6.412748831441468,	0.05
0.6011952029495264,	2.5383797457854818,	5.878353095503179,	0.05
0.7401380942977845,	2.778857826965162,	4.809561623593606,	0.05
0.8884329110252521,	2.9658963345493516,	3.740770151683792,	0.05
1.0434076744521554,	3.099495268538066,	2.6719786797742895,	0.05
1.2020711976441858,	3.1732704638406073,	1.4755039060508235,	0.05
1.3600963043277114,	3.160502133670513,	-0.25536660340188533,	0.05
1.513475026482272,	3.067574443091212,	-1.8585538115860167,	0.05
1.6595353854280794,	2.9212071789161476,	-2.9273452835012925,	0.05
1.7956054024853438,	2.721400341145288,	-3.99613675541719,	0.05
1.9190130989742773,	2.468153929778669,	-5.064928227332377,	0.05
2.0274057044697305,	2.167852109909063,	-6.006036397392123,	0.05
2.119766437886449,	1.8472146683343738,	-6.412748831493786,	0.05
2.1960952992244342,	1.5265772267597022,	-6.412748831493431,	0.05
2.2563922884836844,	1.205939785185004,	-6.412748831493964,	0.05
2.300976613918842,	0.8916865087031489,	-6.285065529637102,	0.05
2.3315034731244397,	0.6105371841119567,	-5.622986491823845,	0.05
2.3506448447802684,	0.38282743311657264,	-4.554195019907681,	0.05
2.3610727075661164,	0.20855725571696127,	-3.4854035479922274,	0.05
2.365459040161773,	0.08772665191313145,	-2.4166120760765963,	0.05
2.366475821247026,	0.02033562170505654,	-1.3478206041614982,	0.05
2.366475821247026,	0.0,	-0.4067124341011308,	0.05
