x1,			 y1,		 x2,		y2
-1.645833,	-1.4375,	-1.645833,	1.4375
-1.645833,	1.4375,	 	1.645833,	1.4375
1.645833,	1.4375,	 	1.645833,	-1.4375
1.645833,	-1.4375,	-1.645833,	-1.4375
